country,western,NielsenWEIRD,population,percent_children,population_density,surface_area,urban_pc,religiosity_index,cip,household_size,individualism,gdp_total,gdp_per_capita,education_index,democracy_index,GINI_index,ethnic_fractionalization,UN_Recode
Afghanistan,no,no,39.84,41.2,61,653,25.5,0.99,7.1158293452073e-4,8.03673885632185,NA,17877,470,0.415,0.32,NA,0.763,
Albania,no,yes,2.87,17.08,104.9,29,60.3,0.69,0.00912196557496862,3.29961078595413,NA,15278,5303,0.745,6.11,30.8,0.139,
Algeria,no,no,44.62,30.92,18.7,2382,72.6,0.91,0.0134962102767904,NA,NA,171158,3976,0.664,3.77,27.6,0.372,
American Samoa,no,no,0.06,NA,275.5,0,87.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Andorra,no,yes,0.08,NA,164.6,0,88.1,NA,NA,NA,NA,3154,40887,0.714,NA,NA,NA,
Angola,no,no,33.93,46.15,27.2,1247,65.5,0.9,0.00576501100794262,4.81565736350675,NA,85001,2671,0.498,3.37,51.3,0.779,
Anguilla,no,no,0.02,NA,168.1,0,100,NA,NA,NA,NA,380,25529,NA,NA,NA,NA,
Antigua and Barbuda,no,no,0.1,21.73,224.4,0,24.6,NA,NA,NA,NA,1662,17113,0.676,NA,NA,NA,
Argentina,no,no,45.61,24.27,16.7,2796,91.9,0.62,0.0438412508503952,3.25865830068813,46,449664,10041,0.816,6.81,42.3,0.158,
Armenia,no,no,2.97, 20.79,104.3,30,63.1,0.74,0.0133025538637207,3.54208464567852,NA,13673,4623,0.749,5.49,25.2,0.045,
Aruba,no,no,0.11,17.31,595.5,0,43.4,NA,NA,2.88944680362676,NA,3293,30975,NA,NA,NA,NA,Netherlands
Australia,yes,yes,25.79,19.32,3.4,7692,86,0.32,0.101189989338623,2.54677670219101,90,1380208,54763,0.929,8.9,34.3,0.045,
Austria,yes,yes,9.04,14.47,109.7,84,58.3,0.41,0.188575884346423,2.2679986813942,55,445075,49701,0.852,8.07,30.2,0.248,
Azerbaijan,no,no,10.22,23.41,123.7,87,55.7,0.3,0.00852660436825854,4.54852867256945,NA,48048,4782,0.709,2.68,26.6,0.122,
Bahamas,no,no,0.4,21.3,39.7,14,83,NA,0.00630824295247215,3.39563829580179,NA,13579,34864,0.726,NA,NA,NA,
Bahrain,no,no,1.75,18.06,2300.4,1,89.3,0.95,0.0571741996502096,NA,NA,38574,23504,0.758,2.52,NA,0.582,
Bangladesh,no,no,166.3,26.31,1277.6,148,36.6,0.99,0.034604018062908,4.46971417265744,20,301051,1846,0.508,5.99,32.4,0.025,
Barbados,no,no,0.29,16.55,669.1,0,31.1,NA,0.00873947927427019,NA,NA,5209,18149,0.777,NA,NA,NA,
Belarus,no,yes,9.44,17.28,46.5,208,78.6,0.32,0.0582469664896731,2.42672287258474,NA,63081,6674,0.838,2.41,24.4,0.309,
Belgium,yes,yes,11.63,16.96,384.2,31,98,0.29,0.199794969554112,2.3234556991274,75,533097,46198,0.893,7.51,27.2,0.592,
Belize,no,no,0.4,28.76,17.8,23,45.7,0.68,0.00369931446004586,NA,NA,1907,4815,0.705,NA,53.3,NA,
Benin,no,no,12.45,41.72,110.4,115,47.3,0.87,NA,5.18649416042462,NA,14403,1220,0.471,4.19,37.8,0.764,
Bermuda,no,no,0.06,NA,1241.8,0,100,NA,0.00217591750547553,2.26230845629966,NA,7361,117768,NA,NA,NA,NA,
Bhutan,no,no,0.78,24.55,20.5,38,40.9,0.97,NA,NA,NA,2564,3361,0.445,5.71,37.4,0.651,
Bolivia (Plurin. State of),no,no,11.83,29.8,10.9,1099,69.4,0.86,0.0118429343475215,3.5304590604877,NA,40895,3552,0.687,4.65,43.6,0.572,
Bonaire,no,no," St. Eustatius & Saba""",NA,0.03,80.6,NA,74.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Netherlands
Bosnia and Herzegovina,no,yes,3.26,14.27,64,51,48.2,0.71,0.0233067112024465,NA,NA,20164,6109,0.718,5.04,33.0,0.637,
Botswana,no,no,2.4,33.02,4.2,582,69.4,0.93,0.0148908795366513,3.52402301562812,NA,18341,7961,0.659,7.73,53.3,0.395,
Brazil,no,no,213.99,20.45,25.6,8516,86.6,0.89,0.0709137836403825,3.31148982178934,38,1847796,8755,0.686,6.86,48.9,0.395,
British Virgin Islands,no,no,0.03,NA,202.8,0,47.7,NA,NA,NA,NA,1297,43189,NA,NA,NA,NA,
Brunei Darussalam,no,no,0.44,21.92,83.8,6,77.6,NA,0.0373376140510817,NA,NA,13469,31086,0.704,NA,NA,NA,
Bulgaria,no,yes,6.9,14.67,63.5,110,75,0.35,0.0474981089856456,2.33762487949056,30,67926,9703,0.805,6.64,40.3,0.289,
Burkina Faso,no,no,21.5,44.09,78.6,273,29.4,0.9,NA,5.9244534660988,NA,15991,787,0.286,3.84,47.3,0.767,
Burundi,no,no,12.26,45.05,477.2,28,13,0.94,0.00112913372879242,4.83019337510145,NA,3002,260,0.424,2.13,38.6,0.308,
Cabo Verde,no,no,0.56,27.67,139.4,4,65.7,NA,0.00281621223048285,NA,NA,1982,3604,0.555,7.65,42.4,0.442,
Cambodia,no,no,16.95,30.7,96,181,23.4,0.81,0.0204415347841674,4.61184313032466,NA,27098,1644,0.487,2.9,NA,0.158,
Cameroon,no,no,27.22,41.78,57.6,476,56.4,0.94,0.00733735359170144,4.99234197870694,NA,38861,1502,0.547,2.56,46.6,NA,
Canada,yes,yes,38.07,15.75,4.2,9985,81.4,0.35,0.162997044659099,2.44882526250561,80,1741497,46550,0.899,8.87,33.3,0.73,
Cayman Islands,no,no,0.07,NA,277.1,0,100,NA,NA,NA,NA,6020,92692,NA,NA,NA,NA,
Central African Republic,no,no,4.92,43.03,7.9,623,41.4,0.96,0.00228510418775436,4.90678370265536,NA,2220,468,0.341,1.43,56.2,0.79,
Chad,no,no,16.92,46.23,13.4,1284,23.1,0.93,NA,5.77717953423277,NA,11272,707,0.298,1.67,37.5,0.855,
Channel Islands,yes,yes,0.18,NA,922.3,0,30.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom
Chile,no,no,19.21,19.01,25.8,756,87.6,0.66,0.0567434496933012,3.57367786514165,23,282318,14896,0.8,7.92,44.9,0.439,
China,no,no,1444.22,17.6,153.8,9600,59.2,0.17,0.368930121754992,3.38440784117093,20,14342934,10004,0.644,2.21,38.2,0.19,
"China, Hong Kong SAR",no,no,7.55,13.01,7193.1,1,100,0.26,0.018200457639069,2.83461753317284,25,365711,49180,0.855,5.6,NA,NA,China
"China, Macao SAR",no,no,0.66,14.62,22019.8,0,100,NA,0.00176165247668407,3.06609687213535,NA,53859,84097,NA,NA,NA,NA,China
Colombia,no,no,51.27,21.89,46.2,1142,80.8,0.84,0.0291008432040934,3.52685205109591,13,323803,6432,0.676,6.48,54.2,0.639,
Comoros,no,no,0.89,38.75,477.4,2,29,0.98,NA,5.37160110924601,NA,1166,1370,0.473,3.2,45.3,0.054,
Congo-Brazzaville,no,no,5.66,40.95,16.6,342,66.9,0.89,0.0068138425827066,4.3074023816909,NA,12397,2304,0.526,2.79,48.9,0.704,"Congo, according to website"
Cook Islands,no,no,0.02,NA,73.2,0,75.1,NA,NA,NA,NA,379,21603,NA,NA,NA,NA,New Zealand
Costa Rica,no,no,5.14,20.58,100.6,51,79.3,0.83,0.0369931698517406,3.4565365191543,15,61774,12238,0.719,8.07,49.3,0.398,
Côte d’Ivoire,no,no,27.05,41.35,85.1,322,50.8,0.88,0.0155812799280491,5.09006311104997,NA,58540,2276,0.424,4.22,37.2,0.731,
Croatia,no,yes,4.08,14.47,72.9,57,56.9,0.65,0.0484941931301902,2.79539616520456,33,60415,14627,0.791,6.5,28.9,0.171,
Cuba,no,no,11.32,NA,106.3,110,77,0.33,0.0163845182750259,3.13669985331294,NA,105355,9296,0.78,2.59,NA,0.517,
Curaçao,no,no,0.16,NA,371.2,0,89.1,NA,NA,NA,NA,3102,18980,NA,NA,NA,NA,Netherlands
Cyprus,no,yes,1.22,16.45,131.6,9,66.8,0.7,0.0171823046521266,2.75874054385606,NA,24565,28285,0.808,7.43,31.2,0.347,
Czech Republic,no,yes,10.72,15.81,138.8,79,73.8,0.25,0.186182326974244,2.34028102530627,58,250681,23452,0.893,7.74,25.3,0.262,"Czechia, according to website"
Dem. People's Rep. Korea,no,no,25.89,19.75,215,121,61.9,NA,NA,3.92930886623476,NA,16331,640,NA,1.08,NA,0.02,abbreviation
Dem. Rep. of the Congo,no,no,92.38,45.61,40.7,2345,44.5,NA,NA,NA,NA,47320,545,NA,NA,42.1,0.7,abbreviation
Denmark,yes,yes,5.81,16.28,137,43,87.9,0.19,0.169239045668671,NA,74,350104,60657,0.92,9.09,27.7,0.177,
Djibouti,no,no,1,28.6,43.2,23,77.8,0.91,NA,NA,NA,3166,3252,0.309,2.74,41.6,0.649,
Dominica,no,no,0.07,NA,96.2,1,70.5,NA,NA,NA,NA,582,8111,0.613,NA,NA,NA,
Dominican Republic,no,no,10.95,27.17,226.7,49,81.1,0.87,NA,3.47793354224461,NA,88941,8282,0.643,6.45,39.6,0.453,
Ecuador,no,no,17.89,27.17,72,257,63.8,0.87,0.0196315637871435,3.77918714053727,8,107436,6184,0.697,5.71,47.3,0.528,
Egypt,no,no,104.26,33.83,104.7,1002,42.7,0.97,0.0348348840714972,4.13085758320921,NA,317359,3161,0.604,2.93,31.5,0.041,
El Salvador,no,no,6.52,26.31,314.6,21,72,0.8,0.02185328031764,4.06997716976167,19,27023,4187,0.58,5.72,38.8,0.165,
Equatorial Guinea,no,no,1.45,36.83,51.7,28,72.1,NA,NA,NA,NA,11025,8130,0.443,1.92,NA,NA,
Eritrea,no,no,3.6,NA,35.7,121,40.1,NA,4.6716087833468e-4,NA,NA,1982,567,0.281,2.03,NA,0.659,
Estonia,yes,yes,1.33,16.49,31.3,45,68.9,0.18,0.0549669389086447,2.29751757241856,60,31471,23740,0.869,7.84,30.8,0.458,
Eswatini,no,no,1.17,NA,68.2,17,23.8,0.94,0.020566500134589,4.73718042366691,NA,4594,4002,0.528,3.08,54.6,NA,
Ethiopia,no,no,117.88,39.56,117.9,1104,20.8,0.99,0.00280994690207593,4.61457783976785,NA,92750,828,0.327,3.3,35.0,0.783,
Falkland Islands (Malvinas),no,no,0,NA,0.3,12,77.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Faroe Islands,yes,yes,0.05,NA,35.1,1,42.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Denmark
Fiji,no,no,0.9,28.91,49.4,18,56.2,NA,0.00776342522118006,4.57243740637706,NA,5504,6185,0.785,5.61,30.7,0.528,
Finland,yes,yes,5.55,15.65,18.3,337,85.4,0.28,0.129040269288216,2.07495909856428,63,269296,48678,0.905,9.27,27.7,0.138,
France,yes,yes,65.43,17.49,119.5,552,80.4,0.31,0.209327067616694,2.22205672177275,71,2715518,40319,0.84,7.99,32.4,NA,
French Guiana,no,no,0.31,NA,3.7,84,85.3,NA,NA,3.45475745050298,NA,NA,NA,NA,NA,NA,NA,France
French Polynesia,no,no,0.28,NA,77.2,437,61.8,NA,NA,NA,NA,6023,21567,NA,NA,NA,NA,
Gabon,no,no,2.28,37.36,8.8,268,89.4,0.89,0.00993726266148835,4.09759781345222,NA,16888,7773,0.628,3.4,38.0,0.789,
Gambia,no,no,2.49,43.82,245.7,11,61.3,0.96,0,8.22968138889476,NA,1823,776,0.372,4.41,35.9,0.762,(Republic of the) Gambia
Georgia,no,yes,3.98,20.26,57.3,70,58.6,0.78,0.0130613836410906,3.33786841939178,NA,17743,4439,0.845,5.12,34.5,0.367,
Germany,yes,yes,83.9,14.04,240.7,358,77.3,0.41,0.41622575285765,2.13881151612819,67,3861124,46232,0.94,8.67,31.7,0.189,
Ghana,no,no,31.73,36.89,139.5,239,56.1,0.89,0.00876401586808777,3.49288612007447,NA,66999,2203,0.558,6.5,43.5,0.736,
Gibraltar,no,no,0.03,NA,3369.1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Greece,no,yes,10.37,13.42,80.5,132,79.1,0.7,0.0581112351601655,2.55549939051526,35,205327,19604,0.838,7.56,33.1,0.167,
Greenland,no,no,0.06,NA,0.1,2166,86.8,NA,NA,NA,NA,3024,53353,NA,NA,NA,NA,Denmark
Grenada,no,no,0.11,NA,332.4,0,36.3,NA,NA,NA,NA,1212,10818,0.758,NA,NA,NA,
Guadeloupe,no,no,0.4,NA,245.7,2,98.5,NA,NA,2.2965290141222,NA,NA,NA,NA,NA,NA,NA,France
Guam,no,no,0.17,NA,315.2,1,94.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Guatemala,no,no,18.25,32.88,170.3,109,51.1,0.89,0.0249136939756086,4.80571376455854,6,76710,4363,0.514,4.62,48.3,0.511,
Guinea,no,no,13.5,42.71,54.9,246,36.1,0.95,NA,6.25081903910384,NA,12354,967,0.339,2.28,29.6,0.727,
Guinea-Bissau,no,no,2.02,42.71,71.7,36,43.4,NA,NA,NA,NA,1322,688,0.392,2.75,34.8,0.808,Guinea Bissau
Guyana,no,no,0.79,27.48,4,215,26.6,0.87,NA,3.79520268281347,NA,5174,6610,0.596,6.25,45.1,0.695,
Haiti,no,no,11.54,32.11,418.8,28,55.3,0.75,0.00404732696623417,4.29334977105548,NA,8051,715,0.433,3.48,41.1,0.105,
Holy See,no,yes,0,NA,1845.5,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(Permanent Observer State)
Honduras,no,no,10.06,30.11,89.9,112,57.1,0.87,0.0107649608389971,4.46749153441871,NA,25095,2575,0.502,5.1,48.2,0.229,
Hungary,no,yes,9.63,14.45,106.4,93,71.4,0.38,0.12646104002032,2.36188228680656,80,163469,16879,0.815,6.5,30.0,0.232,
Iceland,yes,yes,0.34,19.15,3.4,103,93.8,0.33,0.0244650549022747,NA,NA,24188,71345,0.912,9.18,26.1,NA,
India,no,no,1393.41,25.78,468.7,3287,34,0.84,0.0731324528154625,4.57218899216434,48,2891582,2116,0.556,6.91,35.7,NA,
Indonesia,no,no,276.36,25.62,152.6,1911,55.3,0.99,0.076429999163467,3.85945273578042,14,1119191,4136,0.622,6.71,37.9,0.803,
Iran (Islamic Republic of),no,no,85.03,24.84,52.2,1629,74.9,0.79,0.0462917298659748,3.50615563899278,41,603780,7282,0.741,1.95,40.9,0.743,
Iraq,no,no,41.18,37.3,94.8,435,70.5,0.87,0,7.70302801425421,NA,225232,5730,0.534,3.51,29.5,0.446,
Ireland,yes,yes,4.98,20.47,72.3,70,63.2,0.55,0.347499945536436,2.72662748578172,70,398590,81637,0.918,9,30.6,0.174,
Isle of Man,yes,yes,0.09,NA,149.8,1,52.6,NA,NA,2.28392472667282,NA,NA,NA,NA,NA,NA,NA,United Kingdom
Israel,no,no,8.79,27.72,406.2,22,92.4,0.48,0.108404078731832,3.14194539238823,54,395099,46376,0.874,7.97,38.6,0.376,
Italy,no,yes,60.37,12.79,205.2,302,70.4,0.55,0.219697747382092,2.40259252424227,76,2003576,33090,0.791,7.68,35.2,0.11,
Jamaica,no,no,2.97,23.15,274.6,11,55.7,0.88,0.0106616613143884,3.06092285168149,39,15831,5369,0.69,7.13,45.5,0.21,
Japan,no,no,126.05,12.3,345.8,378,91.6,0.23,0.324759809041243,2.33062334276867,46,5082466,40063,0.848,8.15,32.9,0.019,
Jordan,no,no,10.27,32.1,115.7,89,91,0.96,0.0264829390386999,4.71876280946192,NA,44503,4405,0.711,3.49,33.7,0.044,
Kazakhstan,no,no,19,29.18,7,2725,57.4,0.44,0.0371248747759644,3.49662788873433,NA,181667,9793,0.814,3.08,27.8,0.538,
Kenya,no,no,54.99,37.99,96.6,592,27,0.95,0.0101169174387998,3.63882380648678,NA,95502,1817,0.551,5.05,40.8,0.855,
Kiribati,no,no,0.12,35.83,149.9,143,54.1,NA,NA,NA,NA,195,1657,0.62,NA,27.8,NA,
Kuwait,no,no,4.33,21.15,242.9,18,100,0.97,0.0333799644672169,NA,NA,134624,31999,0.62,3.91,NA,0.765,
Kyrgyzstan,no,no,6.63,32.56,34.6,200,36.4,0.77,0.00621620388447985,4.21447820303052,NA,8455,1318,0.735,3.62,29.0,0.487,
Lao People's Dem. Rep.,no,no,7.38,31.62,32,237,35,0.88,0.0100724120778234,5.76530408354279,NA,18823,2625,0.484,1.77,38.8,0.634,Abbreviation
Latvia,yes,yes,1.87,16.77,30,65,68.1,0.37,0.0450220517344984,2.37726020355352,70,34103,17885,0.866,7.31,34.5,0.547,
Lebanon,no,no,6.77,24.47,661.7,10,88.6,0.83,0.0134659775085692,NA,NA,53367,7784,0.637,3.84,31.8,0.133,
